ethereum_address,impact_percentage,github_username
0x0f84Fc6d1C7B1DF2487B54776491d27A7369c9AA,42.06,nya-elimu
0xF72ff6980D2c62258b54Da10178e1DDd87409a33,40.48,jo-elimu
0x0000000000000000000000000000000000000000,15.87,dependabot[bot]
0x4709ebf314c6492d57f4c6d4f57357d5b2bb074e,1.59,vrudas
