ethereum_address,impact_percentage,github_username
0x29C0B687EE69960966a4Ea733cF53CC6eC157ace,74,jo-elimu
0x9D8dC28E9d9C4C5a387A858182edF9ab8B90F565,23.2,tuancoltech
0x0f84Fc6d1C7B1DF2487B54776491d27A7369c9AA,2.8,nya-elimu
