ethereum_address,block_20495788,block_22337091,block_22337098,block_24287531
"0x000000000000000000000000342faeb14127a79735144bbdc772abb6b1bbe343",9.192,0,0,0
"0x00000000000000000000000052671ed206b7789f30f2fc36e73e24702d2c9b41",16.72,13.7919,0,17.2414
"0x0000000000000000000000005d388ec24cc2c0c77458338696aa63afb706a7b1",6.496,0,0,0
"0x000000000000000000000000d46cc93e3ee6a4fb532d9b48e95be7ed8f8f1da0",47.592,0,0,0
"0x0000000300636f696c2d6b742f636f696c000000000000000000000000000000",16,16,0,0
"0x00000003006a756e69742d7465616d2f6a756e69743500000000000000000000",4,4.0001,0,0
"0x0000000000000000000000000f84fc6d1c7b1df2487b54776491d27a7369c9aa",0,23.448,0,29.3103
"0x000000000000000000000000f72ff6980d2c62258b54da10178e1ddd87409a33",0,42.76,0,53.4483
