ethereum_address,block_20450389,block_22337056,block_22486722,block_22995157
"0x0000000000000000000000005d388ec24cc2c0c77458338696aa63afb706a7b1",6.928,0,0,0
"0x000000000000000000000000b77c19804f102312c8cf66221da8886c1bf2c431",45.688,11.432,9.76,9.088
"0x000000000000000000000000d46cc93e3ee6a4fb532d9b48e95be7ed8f8f1da0",27.384,0,0,0
"0x00000003004b6974776172652f434d616b650000000000000000000000000000",1,1,1,1
"0x0000000300636f636f7332642f636f636f7332642d7800000000000000000000",16,16,16,16
"0x000000030073696c6e7273692f666f6e742d616e64696b610000000000000000",3,3,3,3
"0x0000000000000000000000000f84fc6d1c7b1df2487b54776491d27a7369c9aa",0,68.568,62.44,63.64
"0x000000000000000000000000f72ff6980d2c62258b54da10178e1ddd87409a33",0,0,7.8,7.272
