ethereum_address,block_22493614,block_22703207,block_22995397,block_23411947
"0x0000000000000000000000000000000000000000000000000000000000000000",60.8,56.424,55.688,0
"0x0000000000000000000000000f84fc6d1c7b1df2487b54776491d27a7369c9aa",0.648,0.608,0.744,0
"0x0000000000000000000000001f1319c79f1496357781691a22b1f37dac9d844f",2.928,2.72,2.688,0
"0x0000000000000000000000009d8dc28e9d9c4c5a387a858182edf9ab8b90f565",12.776,17.224,17.672,0
"0x000000000000000000000000f72ff6980d2c62258b54da10178e1ddd87409a33",2.848,3.024,3.208,0
"0x0000000300736f667470726f70732f616374696f6e2d67682d72656c65617365",5,5,5,0
"0x00000003012cfc3618a884cee48b8a48fabde1681c8cc2a01527c20ca3af27bc",5,5,5,0
"0x0000000301a68361b7c4701c368fd08699d9a59810784e39471e85af7ff2ad0a",5,5,5,0
"0x0000000301ecae71c125e05714812ad423cfdc739df93da11ea69763843682fb",5,5,5,0
