ethereum_address,block_23624752
"0x0000000000000000000000000f84fc6d1c7b1df2487b54776491d27a7369c9aa",13.336
"0x000000000000000000000000647ea721b4e896d1f76062713b2a0b137475bc3d",0.48
"0x0000000000000000000000009d8dc28e9d9c4c5a387a858182edf9ab8b90f565",10.952
"0x000000000000000000000000f72ff6980d2c62258b54da10178e1ddd87409a33",55.232
"0x00000003006a69747061636b2f6a69747061636b2e696f000000000000000000",5
"0x00000003006a756e69742d7465616d2f6a756e69743400000000000000000000",5
"0x00000003010a70956f42017a070c918ccefba8731c211285e34f18e45fa2fae6",5
"0x0000000301ecae71c125e05714812ad423cfdc739df93da11ea69763843682fb",5
