ethereum_address,block_24272389,block_24295951,block_24747533,block_25318271
"0x0000000000000000000000000000000000000000000000000000000000000000",88.8889,0,88.8889,84.6153
"0x0000000000000000000000000f84fc6d1c7b1df2487b54776491d27a7369c9aa",6.0606,0,6.0606,6.7308
"0x000000000000000000000000f72ff6980d2c62258b54da10178e1ddd87409a33",5.0505,0,0,0
"0x00000000000000000000000029c0b687ee69960966a4ea733cf53cc6ec157ace",0,0,5.0505,4.8077
"0x0000000000000000000000009d8dc28e9d9c4c5a387a858182edf9ab8b90f565",0,0,0,3.8462
