ethereum_address,block_22703526,block_23002916
"0x0000000000000000000000001703ed1bfacc04b7eb654b297aa4e52ebc008722",80,0
"0x000000030070616e6461732d6465762f70616e64617300000000000000000000",20,20
"0x0000000000000000000000000f84fc6d1c7b1df2487b54776491d27a7369c9aa",0,31.048
"0x000000000000000000000000f72ff6980d2c62258b54da10178e1ddd87409a33",0,48.952
