ethereum_address,block_24269874,block_24295134,block_25263876
"0x0000000000000000000000000000000000000000000000000000000000000000",60,0,57.1429
"0x0000000000000000000000000f84fc6d1c7b1df2487b54776491d27a7369c9aa",40,0,42.8571
