ethereum_address,impact_percentage,github_username
0x5D388Ec24Cc2C0C77458338696aa63AFB706A7b1,51.41,nya-elimu
0xd46Cc93E3eE6a4fb532D9B48E95be7eD8f8f1DA0,35.22,jo-elimu
0x9D8dC28E9d9C4C5a387A858182edF9ab8B90F565,5.79,tuancoltech
0x342FaeB14127A79735144bbdC772AbB6b1bBe343,4.89,coderabbitai
0x1f1319c79F1496357781691a22B1f37dAC9D844F,2.31,gscdev
0x0000000000000000000000000000000000000000,0.38,Keerthi4308
