ethereum_address,impact_percentage,github_username
0x0000000000000000000000000000000000000000,54.907407407407405,Xlythe
0x9D8dC28E9d9C4C5a387A858182edF9ab8B90F565,21.944444444444443,tuancoltech
0x29C0B687EE69960966a4Ea733cF53CC6eC157ace,4.2592592592592595,jo-elimu
0x1f1319c79F1496357781691a22B1f37dAC9D844F,3.3333333333333335,gscdev
0x0000000000000000000000000000000000000000,2.962962962962963,dmitriplotnikov
0x0000000000000000000000000000000000000000,2.962962962962963,mikeNG
0x0000000000000000000000000000000000000000,2.4074074074074074,TransientResponse
0x0000000000000000000000000000000000000000,1.7592592592592593,alanv
0x0f84Fc6d1C7B1DF2487B54776491d27A7369c9AA,0.9259259259259259,nya-elimu
0x0000000000000000000000000000000000000000,0.46296296296296297,kruton
0x0000000000000000000000000000000000000000,0.37037037037037035,youngelf
0x0000000000000000000000000000000000000000,0.37037037037037035,narayank
0x0000000000000000000000000000000000000000,0.37037037037037035,mikejurka
0x0000000000000000000000000000000000000000,0.2777777777777778,christianrobertson
0x0000000000000000000000000000000000000000,0.2777777777777778,neel-google
0x0000000000000000000000000000000000000000,0.18518518518518517,linusleeC
0x0000000000000000000000000000000000000000,0.18518518518518517,ztenghui
0x0000000000000000000000000000000000000000,0.18518518518518517,JWvanV
0x0000000000000000000000000000000000000000,0.18518518518518517,romanbb
0x0000000000000000000000000000000000000000,0.18518518518518517,pawitp
0x0000000000000000000000000000000000000000,0.18518518518518517,marado
0x0000000000000000000000000000000000000000,0.18518518518518517,kmaini
0x0000000000000000000000000000000000000000,0.18518518518518517,jham
0x0000000000000000000000000000000000000000,0.18518518518518517,jaceksur
0x0000000000000000000000000000000000000000,0.18518518518518517,dsandler
0x0000000000000000000000000000000000000000,0.18518518518518517,djdarkknight96
0x0000000000000000000000000000000000000000,0.18518518518518517,adamp
0x0000000000000000000000000000000000000000,0.09259259259259259,tnmy-cyngn
0x0000000000000000000000000000000000000000,0.09259259259259259,muena
