contributor_id,ethereum_address,impact_percentage
1,0x0000000000000000000000000000000000000000,57.819383259911895
2,0x754a9162678eaae9b8949eebd85ed1936b5abce3,4.295154185022026
3,0x0000000000000000000000000000000000000000,0.0
5,0x0000000000000000000000000000000000000000,0.0
6,0x0000000000000000000000000000000000000000,0.0
7,0x0000000000000000000000000000000000000000,0.0
8,0x0000000000000000000000000000000000000000,0.0
9,0xec35e628dbf08ae096addb187a485e01d39e7560,0.22026431718061673
10,0x0000000000000000000000000000000000000000,0.0
11,0x0000000000000000000000000000000000000000,0.0
12,0x0fa31ed0fa8e2d2a958b5b5d3c9e9b565abe3e93,0.0
13,0x2fab1fa377cb2631f0bb002fbcd0178819cd33ac,0.0
14,0x0000000000000000000000000000000000000000,0.11013215859030837
15,0x720a4007fd5f34ce15cbe2c1021a846e848ff122,0.0
16,0xd534905ba9e52f7b945c5c14e68ac3e823aa30ba,0.0
17,0x0000000000000000000000000000000000000000,0.0
18,0x0000000000000000000000000000000000000000,0.0
19,0x8f926b0dbe4fcc8678eb3f25e53d1a87fcc7c104,0.0
20,0x28bab36faf041f5b66b0bc5849e7269a752d1747,0.0
21,0x08379a244ab375c32033578b78a1512fb25a5062,0.0
22,0x7275dc2a973a98cefc7bad3227edd98a0432bdae,0.0
23,0x0000000000000000000000000000000000000000,2.202643171806167
24,0x626ae4a918baf6e26f3b3e6b7cf97eec404ffc8b,0.0
25,0x0000000000000000000000000000000000000000,0.0
26,0xc35fc3319e9ca191cec422a426b0dcc20abc984a,0.0
27,0xfbf1de2c211960a95ca254e5af5d80c8fe29aaf0,0.0
28,0x0000000000000000000000000000000000000000,0.0
29,0x0000000000000000000000000000000000000000,0.0
30,0x361dd9c707325d40abfb3ec72518585fd7b76199,0.0
31,0x0000000000000000000000000000000000000000,0.0
32,0x0000000000000000000000000000000000000000,0.0
33,0xda0bc9ecd14d0346ee41085edbc46a950bebd73d,2.643171806167401
34,0x520176597aedf15a05445ad87a477325685544f8,0.0
35,0x0000000000000000000000000000000000000000,0.0
36,0x67b2b26b1186a41e422c490b62c6a3a17cc13779,0.0
37,0x37fcb9a179247bcea473ac27404a6e50e22ebed9,2.973568281938326
38,0x95ba792b6eeb140625625083fa045e766c78173b,6.277533039647577
39,0x9f954bcd8bc1b114dfa0296a68a4744603c8e649,0.9911894273127754
40,0x0000000000000000000000000000000000000000,0.0
41,0x8f866f04efdf1f1427625bffb0fa8677b08ee04d,20.594713656387665
42,0xad97fab3787527b7d280dedb1f5053106e2d5500,0.0
43,0xd9b290431c259d0cb3e3ea55c477ea3d62f8e6fd,0.22026431718061673
44,0x0000000000000000000000000000000000000000,0.0
45,0x0000000000000000000000000000000000000000,0.0
46,0x0000000000000000000000000000000000000000,0.0
47,0x0000000000000000000000000000000000000000,0.0
48,0x0000000000000000000000000000000000000000,0.0
49,0x07a721260416e764618b059811eaf099a940af14,0.0
50,0x0000000000000000000000000000000000000000,0.0
51,0x0000000000000000000000000000000000000000,0.0
52,0x0000000000000000000000000000000000000000,0.0
53,0x0000000000000000000000000000000000000000,0.0
54,0x0000000000000000000000000000000000000000,0.0
55,0x2bf034eccebc8cd60dab9c249b6c2996dcb7d8ec,0.0
56,0xece7c7a2524fd3c08a351134f101794dbfc96b0d,0.0
57,0x8e6122437026cb35066f19449f4c1003a34b28df,0.0
58,0x7cba4b76fe2d68816bef9ba64f1f2d10907834ca,0.11013215859030837
59,0x860b68c636c8cdff2617ec62611372cff57d60bc,0.0
60,0x59f1202ee4a967183598ad45c23459107d5accd6,0.0
61,0xbbfa66d9f0e6c8a75793b9b9ff094b2fc753e20c,0.0
62,0x74f8423e4935c2d988be41306d874f8bd5080403,0.22026431718061673
63,0x0000000000000000000000000000000000000000,0.0
64,0x0000000000000000000000000000000000000000,0.0
65,0x3ca0882a262cf7d5b38b31697371b7f4480a9385,0.22026431718061673
66,0xaef4842a2c6f44ed2d8c4bff94451126d79a065e,0.0
67,0x0000000000000000000000000000000000000000,0.0
68,0x69b18e301ce3eea9be5296f941f6d6c7600c1698,0.0
69,0x272ac3aab962c84c3073b47a85b6d5c5ff6fab99,0.0
79,0x0000000000000000000000000000000000000000,0.0
70,0x0000000000000000000000000000000000000000,0.0
71,0x29a3905c0606dfa2add4139d681b191d942020c8,0.0
72,0x0000000000000000000000000000000000000000,0.0
73,0x0000000000000000000000000000000000000000,0.0
74,0x0000000000000000000000000000000000000000,0.0
75,0x0000000000000000000000000000000000000000,0.0
76,0x0000000000000000000000000000000000000000,0.0
77,0xb0dea5cef77956cf3cb6d3bbdb6af244b357d9f9,0.22026431718061673
78,0x0000000000000000000000000000000000000000,0.0
80,0x0000000000000000000000000000000000000000,0.0
81,0x20d5307af7eefd5398e798c71e3da6e442136be9,0.0
82,0xbbb833115a3498c45bffc9e59e3b59a5995c2ca8,0.0
83,0x0000000000000000000000000000000000000000,0.0
84,0x0000000000000000000000000000000000000000,0.0
85,0x0000000000000000000000000000000000000000,0.0
86,0xfcf315d7ca229733acbcafcad2b7c96cd5c51da7,0.7709251101321586
87,0xa6d4fef3c1337cae47469b1b1a7068ec8688e819,0.0
88,0xd46cc93e3ee6a4fb532d9b48e95be7ed8f8f1da0,0.0
89,0x051621f8ed72c7136c65283df57b15052cb72799,0.11013215859030837
90,0xf72ff6980d2c62258b54da10178e1ddd87409a33,0.0
