ethereum_address,impact_percentage,github_username
0x0f84Fc6d1C7B1DF2487B54776491d27A7369c9AA,75.09,nya-elimu
0xF72ff6980D2c62258b54Da10178e1DDd87409a33,16.25,jo-elimu
0xc6AC0D6AbD1bbB371Db2B3Ef7cbc9fC972C700A6,8.66,bikash
