ethereum_address,impact_percentage,github_username
0x0000000000000000000000000000000000000000,40.00,stephan-mediamonks
0x0f84Fc6d1C7B1DF2487B54776491d27A7369c9AA,40.00,nya-elimu
0x0000000000000000000000000000000000000000,10.00,georgekaranja
0x0000000000000000000000000000000000000000,5.00,BraisGabin
0x0000000000000000000000000000000000000000,5.00,roland-mediamonks
