ethereum_address,impact_percentage,github_username
0xd46Cc93E3eE6a4fb532D9B48E95be7eD8f8f1DA0,57.02,jo-elimu
0x5D388Ec24Cc2C0C77458338696aa63AFB706A7b1,16.71,nya-elimu
0x9D8dC28E9d9C4C5a387A858182edF9ab8B90F565,15.61,tuancoltech
0x342FaeB14127A79735144bbdC772AbB6b1bBe343,8.78,coderabbitai
0x647Ea721B4E896D1f76062713B2a0b137475bC3d,1.88,Brijeshthummar02
0x0000000000000000000000000000000000000000,0.00,tuan-jason
