ethereum_address,impact_percentage,github_username
0xF72ff6980D2c62258b54Da10178e1DDd87409a33,41.67,jo-elimu
0x9D8dC28E9d9C4C5a387A858182edF9ab8B90F565,23.96,tuancoltech
0x0f84Fc6d1C7B1DF2487B54776491d27A7369c9AA,18.75,nya-elimu
0x0000000000000000000000000000000000000000,15.63,saedmanaf
