ethereum_address,github_username,impact_percentage
0xc6AC0D6AbD1bbB371Db2B3Ef7cbc9fC972C700A6,bikash,72.91
0x1D5878059679eFFA13ec0Dc2C894e008307050bc,jo-elimu,19.79
0xEF836b1b90E42c8c69F3cEf628eB10983C10E792,sladomic,7.30
