ethereum_address,impact_percentage,contributor_id
0x0000000000000000000000000000000000000000,58.525345622119815,1
0x0000000000000000000000000000000000000000,0.0,2
0x0000000000000000000000000000000000000000,0.0,3
0x0000000000000000000000000000000000000000,0.0,4
0x0000000000000000000000000000000000000000,0.0,5
0xa8a4f4c8e76974ad3465e793d54fa2392338da1b,2.457757296466974,6
0x0000000000000000000000000000000000000000,0.0,7
0x0000000000000000000000000000000000000000,0.0,8
0xd231cbea9397ba77806176a6c85ace73e45c91f2,22.27342549923195,9
0x39bb57b112f459f6636fcb7bd87d8acce408e12a,12.596006144393241,10
0x81d80e6c2d30a7e10a1ae2271f6e978dc99d4bf9,0.0,11
0x0000000000000000000000000000000000000000,0.0,12
0xcdc6dbfbb4755d82c90166b79063b5881906b48e,2.7649769585253456,17
0x59f1202ee4a967183598ad45c23459107d5accd6,0.0,18
0x0000000000000000000000000000000000000000,0.0,15
0x0000000000000000000000000000000000000000,0.0,19
0x0000000000000000000000000000000000000000,0.0,20
0x0000000000000000000000000000000000000000,0.0,21
0x0000000000000000000000000000000000000000,0.0,22
0x0000000000000000000000000000000000000000,0.0,23
0xcec0e2214d43f8245c1302904c02d666fc65e6bc,0.0,24
0x5eb194eba98c028fb9625fb18f392497ddb5d144,0.0,25
0x92ad2bf2c30b0250188d4156da5628c0d524ae9b,0.7680491551459293,26
0xafac34fb316fe797f775898d2dfb6157815ffedc,0.6144393241167435,27
0x87e0171af6c332b79e6919dc788ab2853764ddc7,0.0,28
