ethereum_address,impact_percentage,github_username
0x1D5878059679eFFA13ec0Dc2C894e008307050bc,53.93,jo-elimu
0xEF836b1b90E42c8c69F3cEf628eB10983C10E792,27.81,nya-elimu
0x342FaeB14127A79735144bbdC772AbB6b1bBe343,8.36,coderabbitai
0x9D8dC28E9d9C4C5a387A858182edF9ab8B90F565,3.85,tuancoltech
0x647Ea721B4E896D1f76062713B2a0b137475bC3d,1.43,Brijeshthummar02
0x0000000000000000000000000000000000000000,1.37,Federico-15
0x0000000000000000000000000000000000000000,1.07,jpascoe32fb
0x0000000000000000000000000000000000000000,0.98,Eunoia1729
0xc6AC0D6AbD1bbB371Db2B3Ef7cbc9fC972C700A6,0.35,bikash
0xc73e819Cea330BC28d8FF190dC2eD676Ba36feA2,0.29,AshishBagdane
